cliente_id,nome,cpf,email
1,Ellen Cochran,58620660350,twhite@example.net
2,Jonathan Wallace,83781070568,wthornton@example.com
3,Donna Lawson,81998802850,christinalewis@example.org
4,Michael Mccoy,95455134997,waltersmitchell@example.net
5,Patrick Dixon,69102316254,christina42@example.org
6,Jennifer Hahn,91049777019,kmoore@example.net
7,Taylor Rice,18168106383,tony76@example.com
8,Christina Kelley,49453197338,theodore03@example.org
9,Christopher Davis,76722173737,brandilee@example.net
10,Nicole Bauer,31582682100,zedwards@example.org
11,Melvin Wilson,34159130581,jacobarellano@example.com
12,Samuel Johnson,69767212949,cordovaashley@example.com
13,Elizabeth White,87717293950,rhanson@example.org
14,Kenneth Ballard,15957040292,lynnroberson@example.com
15,Aaron Marshall,47984102923,bradycorey@example.com
16,Zachary Reynolds,25728231247,jamesbailey@example.net
17,Natalie Leonard,30753878585,tiffany52@example.net
18,Jonathon Griffith,34606972547,rwallace@example.com
19,Christopher Schmidt,35208112591,osmith@example.net
20,Diane Smith,98557779041,tarafreeman@example.org
21,Blake Perez,54824637496,justinanderson@example.com
22,Matthew Guerrero,71715172073,rgarcia@example.com
23,Elizabeth Burnett,16179986860,smitheric@example.org
24,Pamela Spencer,95736721280,bhorn@example.com
25,Jon Thomas,73772484751,ydavidson@example.net
26,Robert Torres,76396650931,kaylaadams@example.net
27,Christopher Cooper,77536568212,websterscott@example.org
28,Derek Martinez,77219008872,phart@example.com
29,Jennifer Martin,83536242238,aliciacampbell@example.com
30,Denise Hart,87859248169,grodriguez@example.org
31,Linda Butler,11317013200,jacob19@example.com
32,Julie Anderson,65165985296,hudsonrhonda@example.org
33,Bruce Nelson,20197687288,yolandaferguson@example.org
34,Kimberly Moreno,64296152829,melissalewis@example.com
35,Linda Lopez,86475323939,vnorris@example.org
36,Jacob Harris,77871862878,hughesmelissa@example.org
37,James Moore,50647198246,justin00@example.net
38,Sara Harris,54451954174,jedwards@example.com
39,Carrie Washington,30501707828,watsoncynthia@example.net
40,Teresa White,14269073583,barbara93@example.com
41,Alison Flowers,94943060765,williamssamuel@example.com
42,Christopher Gross,89840995396,richardhall@example.net
43,Joshua Morrow,66392372892,robert95@example.org
44,Melanie Newton,18151975618,james39@example.org
45,Anthony Barnes,53980023767,brendagarza@example.com
46,Robert Delgado,15400486236,ibrown@example.org
47,Lori Brooks,18437623610,fparker@example.net
48,William Taylor,97144987544,phillipskayla@example.org
49,Amy Lopez,37483016310,samanthamoore@example.org
50,Sylvia Collins,54830210014,thomasmeyer@example.com
51,Kenneth Keith,93279011311,rebecca65@example.org
52,Shannon Blake,56677860196,shelleyli@example.org
53,Rachel Andrews,16419745546,catherinesimmons@example.net
54,Margaret Hansen,26663428727,jessicariley@example.com
55,Pamela Gross,22507348926,kgilbert@example.com
56,Lacey Chung,73358463262,fbenson@example.net
57,Lisa Mcclain,78341154565,hthompson@example.com
58,James Arnold,61207640120,zoconnor@example.com
59,Troy Costa,43408450029,gabriel53@example.com
60,James Jensen,75183395381,peggyrasmussen@example.org
61,Aaron Arnold,63871049586,murphygarrett@example.com
62,Greg Kelley,65948664069,russellnguyen@example.com
63,Maria May,77865675023,andrea56@example.com
64,Michael Baldwin,43999073116,daviddyer@example.com
65,Roy Richmond,97968100363,nicholashall@example.org
66,Kristen Delgado,55925676644,brandonavery@example.org
67,Olivia Clark,88848026169,michaelrichardson@example.net
68,Caitlin Christian,20558129638,smitchell@example.com
69,Joseph Mclean,69800385252,carla28@example.org
70,Jessica Conley,96160347304,jessicabell@example.net
71,Frank Freeman,30477578599,mitchelljason@example.com
